Organisationsnr,Namn,PostAdress,PostNr,PostOrt,BesöksAdress,BesöksPostNr,BesöksPostOrt,Tfn,Fax,Epost,Webbadress,SFS,orgnr_norm,wikidata,wd_item,wd_label,wd_website,avvik_namn,post_webb,wd_webb_norm,avvik_webb,matched_in_wikidata
202100-1868,STATENS VETERINÄRMEDICINSKA ANSTALT,,751 89,UPPSALA,ULLS VÄG 2,756 51,UPPSALA,018674000,,sva@sva.se,www.sva.se,2009:1394,202100-1868,,,,,True,www.sva.se,,True,False
202100-0704,STATENS VÄG- OCH TRANSPORTFORSKNINGSINSTITUT,,581 95,LINKÖPING,OLAUS MAGNUS VÄG 35,583 30,LINKÖPING,013204000,,vti@vti.se,www.vti.se,2007:964,202100-0704,,,,,True,www.vti.se,,True,False
202100-4763,Statens överklagandenämnd,BOX 2218,103 15,STOCKHOLM,,,,087000800,,registratur@kammarkollegiet.se,www.kammarkollegiet.se/namndmyndigheter/statens-overklagandenamnd/om-namnden,2007:835,202100-4763,,,,,True,www.kammarkollegiet.se/namndmyndigheter/statens-overklagandenamnd/om-namnden,,True,False
202100-0837,STATISTISKA CENTRALBYRÅN,,701 89,ÖREBRO,ÅKULLEGATAN 14,703 63,ÖREBRO,0104794000,,scb@scb.se,www.scb.se,2016:822,202100-0837,,,,,True,www.scb.se,,True,False
202100-0852,STATSKONTORET,BOX 396,101 27,STOCKHOLM,Torsgatan 11,111 23,STOCKHOLM,084544600,,registrator@statskontoret.se,www.statskontoret.se,2025:681,202100-0852,,,,,True,www.statskontoret.se,,True,False
202100-6560,Stockholms konstnärliga högskola,BOX 24045,104 50,STOCKHOLM,VALHALLAVÄGEN 189,115 53,STOCKHOLM,0849400000,,registrator@uniarts.se,www.uniarts.se,1993:100,202100-6560,,,,,True,www.uniarts.se,,True,False
202100-3062,STOCKHOLMS UNIVERSITET,,106 91,STOCKHOLM,UNIVERSITETSVÄGEN 10 A,114 18,STOCKHOLM,08162000,,registrator@su.se,www.su.se,1993:100,202100-3062,,,,,True,www.su.se,,True,False
202100-5737,STRÅLSÄKERHETSMYNDIGHETEN,,171 16,STOCKHOLM,SOLNA STRANDVÄG 96,171 54,SOLNA,,,registrator@ssm.se,www.stralsakerhetsmyndigheten.se,2008:452,202100-5737,,,,,True,www.stralsakerhetsmyndigheten.se,,True,False
202100-3815,STYRELSEN FÖR ACKREDITERING OCH TEKNISK KONTROLL,BOX 878,501 15,BORÅS,ÖSTERLÅNGGATAN 9,503 31,BORÅS,0771990900,,registrator@swedac.se,www.swedac.se,2021:1252,202100-3815,,,,,True,www.swedac.se,,True,False
202100-6800,Styrelsen För Samefonden,BOX 90,981 22,KIRUNA,Adolf Hedinsvägen 58,981 33,KIRUNA,,,samefonden@sametinget.se,www.sametinget.se/samefonden,1993:384,202100-6800,,,,,True,www.sametinget.se/samefonden,,True,False
202100-5224,SVENSKA ESF-RÅDET,BOX 397,801 05,GÄVLE,DROTTNINGGATAN 9  3TR,803 20,GÄVLE,020333390,,esf@esf.se,www.esf.se,2007:907,202100-5224,,,,,True,www.esf.se,,True,False
202100-6818,Svenska FAO-kommittén,,103 33,STOCKHOLM,,000 00,STOCKHOLM,084051000,,alexander.bang.bergstrom@regeringskansliet.se,www.svenskafaokommitten.se,1995:1100,202100-6818,,,,,True,www.svenskafaokommitten.se,,True,False
202100-4961,SVENSKA INSTITUTET,BOX 9,121 21,JOHANNESHOV,Virkesvägen 2,120 30,STOCKHOLM,084537800,,si@si.se,www.si.se,2015:152,202100-4961,,,,,True,www.si.se,,True,False
202100-5331,Svenska institutet för europapolitiska studier,Box 55,101 21,STOCKHOLM,Torsgatan 11,111 23,STOCKHOLM,0858644700,,info@sieps.se,www.sieps.se,2008:748,202100-5331,,,,,True,www.sieps.se,,True,False
202100-3583,SVERIGES FÖRFATTARFOND,BOX 6243,102 34,STOCKHOLM,SVEAVÄGEN 82  2TR,113 59,STOCKHOLM,084404550,,svff@svff.se,www.svff.se,1962:652,202100-3583,,,,,True,www.svff.se,,True,False
202100-2528,SVERIGES GEOLOGISKA UNDERSÖKNING,BOX 670,751 28,UPPSALA,Dragarbrunnsgatan 77,753 19,UPPSALA,018179000,,sgu@sgu.se,www.sgu.se,2008:1233,202100-2528,,,,,True,www.sgu.se,,True,False
202100-2817,SVERIGES LANTBRUKSUNIVERSITET,BOX 7070,750 07,UPPSALA,Almas Allé 8  Ulls hus,756 51,UPPSALA,018671000,,registrator@slu.se,www.slu.se,1993:221,202100-2817,,,,,True,www.slu.se,,True,False
202100-0696,SVERIGES METEOROLOGISKA OCH HYDROLOGISKA INSTITUT,,601 76,NORRKÖPING,FOLKBORGSVÄGEN 17,603 82,NORRKÖPING,0114958000,,smhi@smhi.se,www.smhi.se,2009:974,202100-0696,,,,,True,www.smhi.se,,True,False
202100-5703,Säkerhets- och integritetsskyddsnämnden,BOX 22523,104 22,STOCKHOLM,Drottninggatan 89,113 60,STOCKHOLM,0106179800,,sakint@sakint.se,www.sakint.se,2007:1141,202100-5703,,,,,True,www.sakint.se,,True,False
202100-6594,SÄKERHETSPOLISEN,BOX 12312,102 28,STOCKHOLM,Bolstomtavägen 2,171 69,SOLNA,0105687000,,sakerhetspolisen@sakerhetspolisen.se,www.sakerhetspolisen.se,2022:1719,202100-6594,,,,,True,www.sakerhetspolisen.se,,True,False
202100-4896,SÖDERTÖRNS HÖGSKOLA,,141 89,HUDDINGE,ALFRED NOBELS ALLÉ 7,141 52,HUDDINGE,086084000,,registrator@sh.se,www.sh.se,1993:100,202100-4896,,,,,True,www.sh.se,,True,False
202100-5364,"Tandvårds-och läkemedelsförmånsverket, TLV",BOX 22520,104 22,STOCKHOLM,FLEMINGGATAN 14,112 26,STOCKHOLM,0856842050,,registrator@tlv.se,www.tlv.se,2007:1206,202100-5364,,,,,True,www.tlv.se,,True,False
202100-6149,TILLVÄXTVERKET,BOX 4044,102 61,STOCKHOLM,VÄSTGÖTAGATAN 5,118 27,STOCKHOLM,086819100,,tillvaxtverket@tillvaxtverket.se,www.tillvaxtverket.se,2009:145,202100-6149,,,,,True,www.tillvaxtverket.se,,True,False
202100-5182,"TOTALFÖRSVARETS FORSKNINGSINSTITUT, FOI",,164 90,Stockholm,GULLFOSSGATAN 6,164 40,KISTA,0855503000,,registrator@foi.se,www.foi.se,2024:1230,202100-5182,,,,,True,www.foi.se,,True,False
202100-4771,Totalförsvarets plikt- och prövningsverk,Box 31,651 02,KARLSTAD,Gustaf Anders Gata 13,653 40,KARLSTAD,0771244030,,registrator@pliktverket.se,www.pliktverket.se,2010:1472,202100-4771,,,,,True,www.pliktverket.se,,True,False
202100-6305,Trafikanalys,ROSENLUNDSGATAN 54,118 63,STOCKHOLM,ROSENLUNDSGATAN 54,118 63,STOCKHOLM,0104144200,,trafikanalys@trafa.se,www.trafa.se,2010:186,202100-6305,,,,,True,www.trafa.se,,True,False
202100-6297,Trafikverket,,781 89,BORLÄNGE,RÖDA VÄGEN 1,781 70,BORLÄNGE,0771921921,,trafikverket@trafikverket.se,www.trafikverket.se,2010:185,202100-6297,,,,,True,www.trafikverket.se,,True,False
202100-6099,Transportstyrelsen,,601 73,NORRKÖPING,OLAI KYRKOGATA 35,602 32,NORRKÖPING,0771503503,,kontakt@transportstyrelsen.se,www.transportstyrelsen.se,2008:1300,202100-6099,,,,,True,www.transportstyrelsen.se,,True,False
202100-0969,TULLVERKET,BOX 27311,102 54,STOCKHOLM,TEGELUDDSVÄGEN 100,115 28,STOCKHOLM,0771520520,,tullverket@tullverket.se,www.tullverket.se,2016:1332,202100-0969,,,,,True,www.tullverket.se,,True,False
202100-2874,UMEÅ UNIVERSITET,,901 87,UMEÅ,Universitetstorget 4  Samverkanshuset,907 36,UMEÅ,0907865000,,registrator@umu.se,www.umu.se,1993:100,202100-2874,,,,,True,www.umu.se,,True,False
202100-6487,Universitets- och högskolerådet,BOX 4030,171 04,SOLNA,SOLNA STRANDVÄG 132 B,171 54,SOLNA,0104700300,,registrator@uhr.se,www.uhr.se,2012:811,202100-6487,,,,,True,www.uhr.se,,True,False
202100-6495,Universitetskanslersämbetet,Box 6024,121 06,JOHANNESHOV,Hammarbybacken 31,121 45,JOHANNESHOV,,,registrator@uka.se,www.uka.se,2012:810,202100-6495,,,,,True,www.uka.se,,True,False
202100-6610,UPPHANDLINGSMYNDIGHETEN,Box 1194,171 23,SOLNA,Svetsarvägen 10,171 41,SOLNA,0858621700,,registrator@uhmynd.se,www.upphandlingsmyndigheten.se,2015:527,202100-6610,,,,,True,www.upphandlingsmyndigheten.se,,True,False
202100-2932,UPPSALA UNIVERSITET,BOX 256,751 05,UPPSALA,DAG HAMMARSKJÖLDS VÄG 7,752 37,UPPSALA,0184710000,,registrator@uu.se,www.uu.se,1993:100,202100-2932,,,,,True,www.uu.se,,True,False
202100-7071,UTBETALNINGSMYNDIGHETEN,KABYSSGATAN 4 D,120 30,STOCKHOLM,Hammarbybacken 31,120 30,STOCKHOLM,0101751240,,registrator@ubm.se,www.ubm.se,2023:461,202100-7071,,,,,True,www.ubm.se,,True,False
202100-6826,Utrikesförvaltningens antagningsnämnd,,103 33,STOCKHOLM,,000 00,STOCKHOLM,,,,,1991:360,202100-6826,,,,,True,,,False,False
202100-5281,VALMYNDIGHETEN,BOX 1010,171 21,SOLNA,,,,0105757000,,registrator@val.se,www.val.se,2007:977,202100-5281,,,,,True,www.val.se,,True,False
202100-5216,VERKET FÖR INNOVATIONSSYSTEM,,101 58,STOCKHOLM,MÄSTER SAMUELSGATAN 56,101 58,STOCKHOLM,084733000,,vinnova@vinnova.se,www.vinnova.se,2009:1101,202100-5216,,,,,True,www.vinnova.se,,True,False
202100-5208,VETENSKAPSRÅDET,BOX 1035,101 38,STOCKHOLM,HANTVERKARGATAN 11 B,112 21,STOCKHOLM,0854644000,,registrator@vr.se,www.vr.se,2009:975,202100-5208,,,,,True,www.vr.se,,True,False
202100-0084,ÅKLAGARMYNDIGHETEN,BOX 5553,114 85,STOCKHOLM,ÖSTERMALMSGATAN 87 c 3 tr,114 59,STOCKHOLM,0105625000,,registrator@aklagare.se,www.aklagare.se,2015:743,202100-0084,,,,,True,www.aklagare.se,,True,False
202100-2924,ÖREBRO UNIVERSITET,,701 82,ÖREBRO,FAKULTETSGATAN 1,702 81,ÖREBRO,019303000,,registrator@oru.se,www.oru.se,1993:100,202100-2924,,,,,True,www.oru.se,,True,False
202100-5463,ÖVERKLAGANDENÄMNDEN FÖR ETIKPRÖVNING,BOX 1035,101 38,STOCKHOLM,,,,0854677610,,kansli@onep.se,www.onep.se,2007:1068,202100-5463,,,,,True,www.onep.se,,True,False
202100-4375,ÖVERKLAGANDENÄMNDEN FÖR HÖGSKOLAN,BOX 6028,121 06,JOHANNESHOV,,,,0856308700,,onh@onh.se,www.onh.se,2007:991,202100-4375,,,,,True,www.onh.se,,True,False
202100-6024,Överklagandenämnden för nämndemannauppdrag,Box 714,851 21,SUNDSVALL,Södra Tjärngatan 2,852 33,SUNDSVALL,060186600,,overklagandenamnden@dom.se,www.kammarrattenisundsvall.se,2007:1081,202100-6024,,,,,True,www.kammarrattenisundsvall.se,,True,False
202100-5273,ÖVERKLAGANDENÄMNDEN FÖR STUDIESTÖD,BOX 110,871 23,HÄRNÖSAND,BACKGRÄND 9,871 32,HÄRNÖSAND,0611347500,,registrator@oks.se,www.oks.se,2007:1348,202100-5273,,,,,True,www.oks.se,,True,False
